BehaviorSpace results (NetLogo 6.1.0),,,,,,,,,,,,,,,,,,,,,,,,,
ev_rum_shape.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,
experiment,,,,,,,,,,,,,,,,,,,,,,,,,
11/01/2019 12:06:47:337 +0000,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,
-25,25,-25,25,,,,,,,,,,,,,,,,,,,,,,
[run number],density,fraction_blue,circle_blue,circle_orange,similar_wanted_ethnic,similar_wanted_value,num_alternative,e_sqr,v_sqr,v_crl,e_crl,[step],ticks,"mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""local""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""local""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""local""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity =   ""minority""    and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity =   ""minority""   and shape = ""circle""  and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors)]  of turtles  with [ethnicity = ""minority""   and shape =  ""square""   and count (turtles-on neighbors) >= 1]","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself]] of turtles with [ethnicity = ""minority""  and shape =   ""square""   and count (turtles-on neighbors) >= 1]","mean  [count (turtles-on neighbors) with [shape = [shape] of myself]] of turtles with [ethnicity = ""minority""   and shape =   ""square""  and count (turtles-on neighbors) >= 1]"
2,70,50,50,50,1,1,1,30,11,30,12,5,250,5.874720358,5.818791946,5.870246085,5.735607676,5.73347548,5.73347548,6.414078675,6.364389234,6.409937888,5.693363844,5.688787185,5.686498856
2,70,50,50,50,1,1,1,30,11,30,12,6,300,5.957494407,5.912751678,5.955257271,5.678723404,5.678723404,5.676595745,6.126293996,6.084886128,6.120082816,5.864988558,5.864988558,5.85812357
2,70,50,50,50,1,1,1,30,11,30,12,7,350,6.192393736,6.125279642,6.178970917,5.680851064,5.676595745,5.663829787,6.175983437,6.109730849,6.157349896,5.832951945,5.832951945,5.816933638
2,70,50,50,50,1,1,1,30,11,30,12,8,400,5.731543624,5.66442953,5.727069351,5.838297872,5.834042553,5.834042553,6.221532091,6.15942029,6.207039337,5.709382151,5.704805492,5.693363844
2,70,50,50,50,1,1,1,30,11,30,12,9,450,5.993288591,5.926174497,5.968680089,5.721276596,5.721276596,5.69787234,6.155279503,6.093167702,6.15320911,5.764302059,5.764302059,5.76201373
2,70,50,50,50,1,1,1,30,11,30,12,10,500,5.953020134,5.926174497,5.946308725,6.008510638,6.00212766,6,5.919254658,5.892339545,5.917184265,5.693363844,5.688787185,5.693363844
2,70,50,50,50,1,1,1,30,11,30,12,11,550,5.937360179,5.914988814,5.928411633,5.8,5.8,5.791489362,6.105590062,6.084886128,6.099378882,5.691075515,5.691075515,5.684210526
2,70,50,50,50,1,1,1,30,11,30,12,12,600,5.959731544,5.92393736,5.955257271,5.740425532,5.731914894,5.736170213,5.942028986,5.908902692,5.933747412,5.734553776,5.725400458,5.725400458
2,70,50,50,50,1,1,1,30,11,30,12,13,650,5.991051454,5.970917226,5.984340045,5.731914894,5.729787234,5.725531915,5.766045549,5.747412008,5.757763975,5.819221968,5.816933638,5.81006865
2,70,50,50,50,1,1,1,30,11,30,12,14,700,6.093959732,6.051454139,6.085011186,5.534042553,5.534042553,5.527659574,6.028985507,5.991718427,6.028985507,5.828375286,5.826086957,5.826086957
2,70,50,50,50,1,1,1,30,11,30,12,15,750,6,5.937360179,5.982102908,5.723404255,5.723404255,5.723404255,5.997929607,5.956521739,5.991718427,5.636155606,5.61784897,5.610983982
2,70,50,50,50,1,1,1,30,11,30,12,16,800,5.872483221,5.841163311,5.870246085,5.827659574,5.827659574,5.825531915,6.031055901,6.002070393,6.02484472,5.626146789,5.626146789,5.619266055
2,70,50,50,50,1,1,1,30,11,30,12,17,850,5.919463087,5.906040268,5.910514541,5.634042553,5.634042553,5.625531915,5.910973085,5.898550725,5.892339545,5.929061785,5.929061785,5.908466819
2,70,50,50,50,1,1,1,30,11,30,12,18,900,6.033557047,6.008948546,6.024608501,5.629787234,5.629787234,5.621276596,5.962732919,5.939958592,5.944099379,5.741418764,5.741418764,5.720823799
2,70,50,50,50,1,1,1,30,11,30,12,19,950,5.995525727,5.982102908,5.984340045,5.821276596,5.821276596,5.812765957,5.971014493,5.960662526,5.964803313,5.647597254,5.645308924,5.638443936
2,70,50,50,50,1,1,1,30,11,30,12,20,1000,5.937360179,5.928411633,5.932885906,5.868085106,5.868085106,5.863829787,5.944099379,5.935817805,5.942028986,5.814645309,5.814645309,5.812356979
2,70,50,50,50,1,1,1,30,11,30,12,21,1050,5.932885906,5.906040268,5.914988814,5.791489362,5.791489362,5.774468085,6.043478261,6.01863354,6.02484472,5.828375286,5.828375286,5.80778032
2,70,50,50,50,1,1,1,30,11,30,12,22,1100,5.937360179,5.917225951,5.93064877,5.680851064,5.678723404,5.674468085,6.078674948,6.060041408,6.068322981,5.675057208,5.672768879,5.663615561
2,70,50,50,50,1,1,1,30,11,30,12,23,1150,6.154362416,6.138702461,6.136465324,5.55106383,5.54893617,5.534042553,5.966873706,5.952380952,5.956521739,5.610983982,5.608695652,5.599542334
2,70,50,50,50,1,1,1,30,11,30,12,24,1200,5.776286353,5.765100671,5.774049217,5.644680851,5.644680851,5.642553191,6.093167702,6.082815735,6.093167702,5.757437071,5.757437071,5.757437071
2,70,50,50,50,1,1,1,30,11,30,12,25,1250,5.852348993,5.834451902,5.838926174,5.829787234,5.812765957,5.814893617,5.869565217,5.850931677,5.842650104,5.727688787,5.711670481,5.700228833
2,70,50,50,50,1,1,1,30,11,30,12,26,1300,6.067114094,6.024608501,6.055928412,5.642553191,5.627659574,5.617021277,5.863354037,5.80952381,5.84057971,5.757437071,5.757437071,5.748283753
2,70,50,50,50,1,1,1,30,11,30,12,27,1350,5.88590604,5.865771812,5.881431767,5.65106383,5.65106383,5.646808511,5.703933747,5.685300207,5.703933747,5.839816934,5.839816934,5.839816934
2,70,50,50,50,1,1,1,30,11,30,12,28,1400,5.738255034,5.733780761,5.736017897,5.704255319,5.704255319,5.70212766,5.869565217,5.865424431,5.867494824,5.965675057,5.965675057,5.963386728
2,70,50,50,50,1,1,1,30,11,30,12,29,1450,5.88590604,5.872483221,5.874720358,5.70212766,5.687234043,5.691489362,5.801242236,5.788819876,5.801242236,5.883295195,5.867276888,5.883295195
2,70,50,50,50,1,1,1,30,11,30,12,30,1500,5.803131991,5.796420582,5.796420582,5.763829787,5.763829787,5.757446809,5.780538302,5.774327122,5.766045549,5.929061785,5.929061785,5.913043478
2,70,50,50,50,1,1,1,30,11,30,12,31,1550,5.932885906,5.932885906,5.928411633,5.636170213,5.634042553,5.631914894,5.902691511,5.902691511,5.896480331,5.839816934,5.837528604,5.832951945
2,70,50,50,50,1,1,1,30,11,30,12,32,1600,6.154362416,6.154362416,6.147651007,5.658848614,5.656716418,5.650319829,5.716356108,5.714285714,5.714285714,5.798627002,5.798627002,5.798627002
2,70,50,50,50,1,1,1,30,11,30,12,33,1650,6.053691275,6.046979866,6.051454139,5.740425532,5.734042553,5.731914894,6.010351967,5.997929607,6.002070393,5.558352403,5.558352403,5.556064073
2,70,50,50,50,1,1,1,30,11,30,12,34,1700,5.991051454,5.988814318,5.988814318,5.682978723,5.682978723,5.680851064,5.83436853,5.832298137,5.832298137,5.695652174,5.695652174,5.693363844
2,70,50,50,50,1,1,1,30,11,30,12,35,1750,6.033557047,6.013422819,6.033557047,5.585106383,5.574468085,5.585106383,5.956521739,5.937888199,5.935817805,5.672768879,5.661327231,5.649885584
2,70,50,50,50,1,1,1,30,11,30,12,36,1800,5.807606264,5.794183445,5.807606264,5.753191489,5.74893617,5.753191489,6.004140787,5.991718427,6.004140787,5.496567506,5.491990847,5.496567506
2,70,50,50,50,1,1,1,30,11,30,12,37,1850,5.785234899,5.776286353,5.780760626,5.846808511,5.846808511,5.842553191,5.908902692,5.900621118,5.900621118,5.702517162,5.702517162,5.693363844
