"BehaviorSpace results (NetLogo 6.1.1)"
"rum_eth.nlogo"
"experiment"
"11/09/2019 17:53:07:742 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num_alternative","density","similar_wanted_ethnic","beta-ie","similar_wanted_value","circle_blue","fraction_blue","circle_orange","[step]","ticks","mean [count (turtles-on neighbors) with [ethnicity = [ethnicity] of myself] / count (turtles-on neighbors) ] of turtles with [count (turtles-on neighbors) >= 1]"
"11","1","70","1","10","1","50","50","50","4","200","0.9918694789976562"
"41","1","70","1","40","1","50","50","50","4","200","0.9989398967551624"
"55","1","70","1","54","1","50","50","50","4","200","1"
"51","1","70","1","50","1","50","50","50","4","200","1"
"37","1","70","1","36","1","50","50","50","4","200","1"
"31","1","70","1","30","1","50","50","50","4","200","1"
"33","1","70","1","32","1","50","50","50","4","200","1"
"10","1","70","1","9","1","50","50","50","4","200","0.99082335872325"
"22","1","70","1","21","1","50","50","50","4","200","0.999783315276273"
"58","1","70","1","57","1","50","50","50","4","200","0.9987148342606378"
"45","1","70","1","44","1","50","50","50","4","200","0.9994271988174426"
"3","1","70","1","2","1","50","50","50","4","200","0.6462782294489612"
"56","1","70","1","55","1","50","50","50","4","200","1"
"25","1","70","1","24","1","50","50","50","4","200","0.9991122094087497"
"57","1","70","1","56","1","50","50","50","4","200","1"
"63","1","70","1","62","1","50","50","50","4","200","0.9996359002366649"
"24","1","70","1","23","1","50","50","50","4","200","0.9983615510649917"
"14","1","70","1","13","1","50","50","50","4","200","0.9966794731064761"
"44","1","70","1","43","1","50","50","50","4","200","1"
"39","1","70","1","38","1","50","50","50","4","200","1"
"46","1","70","1","45","1","50","50","50","4","200","1"
"4","1","70","1","3","1","50","50","50","4","200","0.7656215621562151"
"38","1","70","1","37","1","50","50","50","4","200","1"
"40","1","70","1","39","1","50","50","50","4","200","1"
"64","1","70","1","63","1","50","50","50","4","200","0.9986902785463936"
"1","1","70","1","0","1","50","50","50","4","200","0.5058641487568483"
"35","1","70","1","34","1","50","50","50","4","200","1"
"60","1","70","1","59","1","50","50","50","4","200","0.9996347031963471"
"36","1","70","1","35","1","50","50","50","4","200","1"
"52","1","70","1","51","1","50","50","50","4","200","1"
"43","1","70","1","42","1","50","50","50","4","200","1"
"62","1","70","1","61","1","50","50","50","4","200","0.9990638766519824"
"53","1","70","1","52","1","50","50","50","4","200","1"
"30","1","70","1","29","1","50","50","50","4","200","1"
"5","1","70","1","4","1","50","50","50","4","200","0.9247662130312466"
"59","1","70","1","58","1","50","50","50","4","200","1"
"15","1","70","1","14","1","50","50","50","4","200","0.9967065868263475"
"54","1","70","1","53","1","50","50","50","4","200","0.998829924451815"
"27","1","70","1","26","1","50","50","50","4","200","1"
"9","1","70","1","8","1","50","50","50","5","250","0.9891735825745976"
"13","1","70","1","12","1","50","50","50","5","250","0.9969596462133774"
"7","1","70","1","6","1","50","50","50","5","250","0.972257795100222"
"2","1","70","1","1","1","50","50","50","5","250","0.5471554454641431"
"20","1","70","1","19","1","50","50","50","5","250","0.9997045244690674"
"12","1","70","1","11","1","50","50","50","5","250","0.9933868289983396"
"32","1","70","1","31","1","50","50","50","5","250","0.9986879124924403"
"21","1","70","1","20","1","50","50","50","5","250","0.9997539639147075"
"48","1","70","1","47","1","50","50","50","5","250","1"
"42","1","70","1","41","1","50","50","50","5","250","1"
"23","1","70","1","22","1","50","50","50","5","250","0.9997796143250688"
"34","1","70","1","33","1","50","50","50","5","250","0.9979806439605435"
"16","1","70","1","15","1","50","50","50","5","250","0.9992533185840707"
"47","1","70","1","46","1","50","50","50","5","250","1"
"6","1","70","1","5","1","50","50","50","5","250","0.9636313119426791"
"17","1","70","1","16","1","50","50","50","5","250","0.9979905437352247"
"50","1","70","1","49","1","50","50","50","5","250","1"
"8","1","70","1","7","1","50","50","50","5","250","0.9858198711857245"
"18","1","70","1","17","1","50","50","50","5","250","0.9984057971014494"
"49","1","70","1","48","1","50","50","50","5","250","0.9994067482387837"
"28","1","70","1","27","1","50","50","50","5","250","1"
"26","1","70","1","25","1","50","50","50","5","250","0.9988186813186812"
"61","1","70","1","60","1","50","50","50","5","250","0.9995731254639939"
"29","1","70","1","28","1","50","50","50","5","250","1"
"58","1","70","1","57","1","50","50","50","5","250","1"
"19","1","70","1","18","1","50","50","50","5","250","0.9984109386548412"
"11","1","70","1","10","1","50","50","50","5","250","0.9931211208117643"
"37","1","70","1","36","1","50","50","50","5","250","1"
"10","1","70","1","9","1","50","50","50","5","250","0.9895739416550079"
"41","1","70","1","40","1","50","50","50","5","250","1"
"51","1","70","1","50","1","50","50","50","5","250","1"
"31","1","70","1","30","1","50","50","50","5","250","1"
"55","1","70","1","54","1","50","50","50","5","250","0.999675565443085"
"33","1","70","1","32","1","50","50","50","5","250","0.9989467849223946"
"45","1","70","1","44","1","50","50","50","5","250","1"
"3","1","70","1","2","1","50","50","50","5","250","0.6436514388953404"
"57","1","70","1","56","1","50","50","50","5","250","0.9973376502992742"
"56","1","70","1","55","1","50","50","50","5","250","1"
"25","1","70","1","24","1","50","50","50","5","250","0.9977480486143853"
"14","1","70","1","13","1","50","50","50","5","250","0.99810163780268"
"22","1","70","1","21","1","50","50","50","5","250","0.9982291182995408"
"40","1","70","1","39","1","50","50","50","5","250","1"
"24","1","70","1","23","1","50","50","50","5","250","0.9993897996357013"
"63","1","70","1","62","1","50","50","50","5","250","1"
"39","1","70","1","38","1","50","50","50","5","250","0.997571848122509"
"44","1","70","1","43","1","50","50","50","5","250","0.9995008319467553"
"4","1","70","1","3","1","50","50","50","5","250","0.7637788778877891"
"46","1","70","1","45","1","50","50","50","5","250","1"
"64","1","70","1","63","1","50","50","50","5","250","0.9995757240361556"
"38","1","70","1","37","1","50","50","50","5","250","1"
"35","1","70","1","34","1","50","50","50","5","250","0.999407366885485"
"1","1","70","1","0","1","50","50","50","5","250","0.48495180151706674"
